"Date","Corp.GrossProfit","Corp.Depreciation","Corp.OpEx.EmpComp","Corp.OpEx.EmpComp.WageSalary","Corp.OpEx.EmpComp.Supplements","Corp.OpEx.TaxOnProductionLessSubsidy","Corp.NetOpSurplus","Corp.Interest","Corp.Transfers","Corp.IncomeTax","Corp.Dividends","Corp.IVA","Corp.CCAdj","Corp.EBT.GAAP","Corp.NetIncome.GAAP","Corp.RetainedEarnings.GAAP","Corp.EBT.NonGAAP","Corp.NetIncome.NonGAAP","Corp.RetainedEarnings.NonGAAP","Corp.ReceiptsRestOfWorld","Corp.PaymentsToRestOfWorld","Corp.OpEx","Corp.PayoutRatio","Corp.RetentionRatio","Corp.TaxRate"
1929,54806,5228,34242,33818,424,2999,12337,1381,355,1365,5573,472,-550,10679,9314,3741,10601,9236,3663,NA,NA,37241,0.60339974014725,0.39660025985275,0.14779125162408
1930,48178,5080,30808,30399,409,3037,9253,1538,354,842,5331,3260,-321,4422,3580,-1751,7361,6519,1188,NA,NA,33845,0.817763460653474,0.182236539346526,0.129160914250652
1931,37846,4752,25369,24996,373,2842,4883,1522,406,498,4070,2414,-25,566,68,-4002,2955,2457,-1613,NA,NA,28211,1.65649165649166,-0.656491656491657,0.202686202686203
1932,27861,4240,19013,18690,323,2942,1666,1397,425,383,2580,1047,109,-1312,-1695,-4275,-156,-539,-3119,NA,NA,21955,-4.78664192949907,5.78664192949907,-0.710575139146568
1933,26876,4008,18002,17706,296,3467,1399,1168,404,521,2040,-2143,136,1834,1313,-727,-173,-694,-2734,NA,NA,21469,-2.93948126801153,3.93948126801153,-0.750720461095101
1934,33500,4104,21045,20714,331,4090,4261,1414,390,744,2507,-625,-73,3155,2411,-96,2457,1713,-794,NA,NA,25135,1.46351430239346,-0.463514302393462,0.434325744308231
1935,37147,4184,23056,22697,359,4155,5752,1525,368,951,2685,-227,-126,4212,3261,576,3859,2908,223,NA,NA,27211,0.923314993122421,0.0766850068775791,0.327028885832187
1936,42724,4248,26274,25645,629,4364,7838,1359,353,1409,4419,-738,-139,7003,5594,1175,6126,4717,298,NA,NA,30638,0.936824252702989,0.0631757472970108,0.298706805172779
1937,48339,4744,30548,29256,1292,4621,8426,1304,342,1502,4538,-31,-546,7357,5855,1317,6780,5278,740,NA,NA,35169,0.859795377036756,0.140204622963244,0.284577491474043
1938,43000,4820,27266,25848,1418,4575,6339,1321,311,1029,2918,963,-558,4302,3273,355,4707,3678,760,NA,NA,31841,0.79336595976074,0.20663404023926,0.279771615008157
1939,47323,4824,29816,28288,1528,4751,7932,1336,328,1441,3582,-714,-472,7454,6013,2431,6268,4827,1245,NA,NA,34567,0.742075823492853,0.257924176507147,0.298529107105863
1940,54105,5040,32856,31218,1638,5136,11073,1120,347,2834,3782,-200,-564,10370,7536,3754,9606,6772,2990,NA,NA,37992,0.558476077968104,0.441523922031896,0.418487891317188
