"Date","Corp.GrossProfit","Corp.Depreciation","Corp.OpEx.EmpComp","Corp.OpEx.EmpComp.WageSalary","Corp.OpEx.EmpComp.Supplements","Corp.OpEx.TaxOnProductionLessSubsidy","Corp.NetOpSurplus","Corp.Interest","Corp.Transfers","Corp.IncomeTax","Corp.Dividends","Corp.IVA","Corp.CCAdj","Corp.EBT.GAAP","Corp.NetIncome.GAAP","Corp.RetainedEarnings.GAAP","Corp.EBT.NonGAAP","Corp.NetIncome.NonGAAP","Corp.RetainedEarnings.NonGAAP","Corp.ReceiptsRestOfWorld","Corp.PaymentsToRestOfWorld","Corp.OpEx","Corp.PayoutRatio","Corp.RetentionRatio","Corp.TaxRate"
"1947Q1",120994,9036,79192,75216,3976,11180,21586,351,664,11496,5432,-9652,-2359,32582,21086,15654,20571,9075,3643,NA,NA,90372,0.598567493112948,0.401432506887052,1.26677685950413
"1947Q2",125842,9561,80540,76488,4052,11276,24465,321,621,10880,5680,-4676,-2509,30708,19828,14148,23523,12643,6963,NA,NA,91816,0.449260460333782,0.550739539666218,0.8605552479633
"1947Q3",128759,10059,82776,78572,4204,11500,24424,262,546,10724,5924,-4048,-2648,30312,19588,13664,23616,12892,6968,NA,NA,94276,0.459509773502948,0.540490226497052,0.831833695314924
"1947Q4",134417,10529,86036,81688,4348,12144,25708,173,532,11672,5792,-5220,-2776,32999,21327,15535,25003,13331,7539,NA,NA,98180,0.434476033305829,0.565523966694171,0.875553221813817
"1948Q1",141649,10972,89008,84836,4172,12240,29428,89,569,12008,6376,-2876,-2892,34539,22531,16155,28771,16763,10387,NA,NA,101248,0.380361510469486,0.619638489530514,0.716339557358468
"1948Q2",144979,11356,89820,85648,4172,12744,31060,12,574,12648,5972,-2868,-2965,36305,23657,17685,30473,17825,11853,NA,NA,102564,0.335035063113604,0.664964936886395,0.709565217391304
"1948Q3",147673,11680,92612,88380,4232,12936,30445,-28,575,12408,6436,-2796,-2993,35687,23279,16843,29898,17490,11054,NA,NA,105548,0.36798170383076,0.63201829616924,0.709433962264151
"1948Q4",149954,11944,93004,88732,4272,13076,31930,-44,588,11952,6684,-68,-2978,34432,22480,15796,31385,19433,12749,NA,NA,106080,0.343951011166572,0.656048988833428,0.615036278495343
"1949Q1",146620,12149,91072,86804,4268,13096,30303,-20,543,10836,6564,1404,-2919,31295,20459,13895,29780,18944,12380,NA,NA,104168,0.346494932432432,0.653505067567568,0.572001689189189
"1949Q2",142641,12336,88992,84608,4384,13308,28005,-29,537,9520,6540,2836,-2864,27524,18004,11464,27496,17976,11436,NA,NA,102300,0.363818424566088,0.636181575433912,0.529595015576324
"1949Q3",143434,12506,88084,83636,4448,13552,29293,-54,540,9936,6440,2984,-2812,28636,18700,12260,28807,18871,12431,NA,NA,101636,0.341264373907053,0.658735626092947,0.526522176885168
"1949Q4",139393,12657,87044,82512,4532,13528,26164,-86,602,9748,6852,200,-2765,28213,18465,11613,25648,15900,9048,NA,NA,100572,0.430943396226415,0.569056603773585,0.613081761006289
"1950Q1",146682,12790,90624,85480,5144,13836,29432,-88,592,13440,7576,-700,-2721,32349,18909,11333,28928,15488,7912,NA,NA,104460,0.489152892561983,0.510847107438017,0.867768595041322
"1950Q2",156524,13043,95640,90192,5448,14516,33326,-121,641,16108,7752,-3316,-2718,38839,22731,14979,32805,16697,8945,NA,NA,110156,0.464275019464575,0.535724980535425,0.964724201952447
"1950Q3",168459,13414,101640,95788,5852,15812,37593,-148,723,19724,8216,-7304,-2755,47077,27353,19137,37017,17293,9077,NA,NA,117452,0.475105534031111,0.524894465968889,1.14057711212629
"1950Q4",176791,13905,106712,100496,6216,15120,41054,-174,820,21640,8660,-8540,-2834,51781,30141,21481,40408,18768,10108,NA,NA,121832,0.461423699914749,0.538576300085251,1.15302642796249
"1951Q1",182052,14515,111332,104600,6732,16216,39989,-184,942,26048,7592,-8724,-2953,50909,24861,17269,39232,13184,5592,NA,NA,127548,0.575849514563107,0.424150485436893,1.97572815533981
"1951Q2",184648,15007,114548,107560,6988,15416,39677,-210,1010,22004,7748,-1012,-3012,42901,20897,13149,38876,16872,9124,NA,NA,129964,0.459222380275012,0.540777619724988,1.30417259364628
"1951Q3",186488,15382,115356,108288,7068,15636,40114,-235,1036,19888,7660,3464,-3013,38862,18974,11314,39313,19425,11765,NA,NA,130992,0.394337194337194,0.605662805662806,1.02383526383526
