"VariableName","DisplayName","Date","DataValue","delta"
"GrossOutput","All",1947,471889,NA
"GrossOutput","All",1948,502514,0.0648987367792002
"GrossOutput","All",1949,510344,0.0155816554364655
"GrossOutput","All",1950,577814,0.132204944116126
"GrossOutput","All",1951,654590,0.132873208333478
"GrossOutput","All",1952,685974,0.0479445148871813
"GrossOutput","All",1953,739244,0.0776560044549793
"GrossOutput","All",1954,739892,0.000876571199766248
"GrossOutput","All",1955,802620,0.0847799408562331
"GrossOutput","All",1956,841770,0.0487777528593855
"GrossOutput","All",1957,875488,0.0400560723237939
"GrossOutput","All",1958,897466,0.0251037135860229
"GrossOutput","All",1959,978900,0.0907376992554593
"GrossOutput","All",1960,1005957,0.0276402083971805
"GrossOutput","All",1961,1029666,0.023568601838846
"GrossOutput","All",1962,1105525,0.0736734047739753
"GrossOutput","All",1963,1163013,0.0520006331833292
"GrossOutput","All",1964,1242665,0.0684876265355589
"GrossOutput","All",1965,1355977,0.0911846716532613
"GrossOutput","All",1966,1479160,0.0908444612261122
"GrossOutput","All",1967,1554974,0.0512547662186646
"GrossOutput","All",1968,1689763,0.0866824782922415
"GrossOutput","All",1969,1824902,0.0799751207713744
"GrossOutput","All",1970,1902979,0.0427842152619702
"GrossOutput","All",1971,2049301,0.0768910219187915
"GrossOutput","All",1972,2273725,0.109512463030077
"GrossOutput","All",1973,2556021,0.124155735632058
"GrossOutput","All",1974,2877753,0.125872205275309
"GrossOutput","All",1975,3055319,0.0617030023077033
"GrossOutput","All",1976,3434643,0.124152011623009
"GrossOutput","All",1977,3872733,0.127550374231034
"GrossOutput","All",1978,4366783,0.127571407582191
"GrossOutput","All",1979,4925491,0.127944988335807
"GrossOutput","All",1980,5461956,0.108916045121187
"GrossOutput","All",1981,6033517,0.104644013975946
"GrossOutput","All",1982,6175017,0.0234523247386226
"GrossOutput","All",1983,6630983,0.0738404444878451
"GrossOutput","All",1984,7313825,0.102977492175745
"GrossOutput","All",1985,7775707,0.0631519075176122
"GrossOutput","All",1986,8031006,0.0328328986676067
"GrossOutput","All",1987,8707498,0.0842350260976022
"GrossOutput","All",1988,9434248,0.0834625514700089
"GrossOutput","All",1989,10069827,0.0673693335176264
"GrossOutput","All",1990,10624557,0.0550883346853923
"GrossOutput","All",1991,10807959,0.0172620844332615
"GrossOutput","All",1992,11381042,0.0530241648770133
"GrossOutput","All",1993,12024404,0.0565292703427331
"GrossOutput","All",1994,12826840,0.0667339520528419
"GrossOutput","All",1995,13653245,0.0644277935953048
"GrossOutput","All",1996,14463405,0.0593382745274109
"GrossOutput","All",1997,15393600,0.0643136937671316
"GrossOutput","All",1998,16217000,0.0534897619790043
"GrossOutput","All",1999,17273400,0.0651415181599556
"GrossOutput","All",2000,18625700,0.0782880035198629
"GrossOutput","All",2001,18884500,0.0138947797935111
"GrossOutput","All",2002,19173800,0.0153194418703169
"GrossOutput","All",2003,20140700,0.0504281884655102
"GrossOutput","All",2004,21689100,0.076879155143565
"GrossOutput","All",2005,23517900,0.0843188514046226
"GrossOutput","All",2006,24925500,0.0598522827293253
"GrossOutput","All",2007,26250300,0.053150388156707
"GrossOutput","All",2008,27024900,0.0295082341916092
"GrossOutput","All",2009,24959300,-0.0764332152940436
"GrossOutput","All",2010,26479500,0.060907156851354
"GrossOutput","All",2011,28050300,0.0593213618081912
"GrossOutput","All",2012,29232200,0.0421350217288229
"GrossOutput","All",2013,30388800,0.0395659580873147
"GrossOutput","All",2014,31795700,0.0462966619280788
"GrossOutput","All",2015,32233900,0.0137817377821529
"GrossOutput","All",2016,32898100,0.0206056356816892
"GrossOutput","All",2017,34468100,0.0477231207881306
"GrossOutput","All",2018,36504500,0.0590807152120366
"GrossOutput","All",2019,37658000,0.0315988439781397
"GrossOutput","All",2020,36714600,-0.0250517818259068
"GrossOutput","All",2021,41833300,0.139418650890926
"GrossOutput","All",2022,46611200,0.114212840010231
"GrossOutput","All",2023,48540300,0.0413870486063435
"GrossOutput","All",2024,50736600,0.0452469391412908
"GrossOutput","All",2025,53003900,0.044687661372658
"GrossOutput","Pvt",1947,431975,NA
"GrossOutput","Pvt",1948,461215,0.0676891023786099
"GrossOutput","Pvt",1949,465413,0.00910204568368331
"GrossOutput","Pvt",1950,531971,0.143008467748
"GrossOutput","Pvt",1951,593257,0.115205528120894
"GrossOutput","Pvt",1952,612097,0.0317568945667729
"GrossOutput","Pvt",1953,659457,0.0773733574907245
"GrossOutput","Pvt",1954,662294,0.00430202424115598
"GrossOutput","Pvt",1955,722069,0.0902544791286045
"GrossOutput","Pvt",1956,758844,0.0509300357722046
"GrossOutput","Pvt",1957,785148,0.0346632509448582
"GrossOutput","Pvt",1958,801361,0.0206496100098325
"GrossOutput","Pvt",1959,880103,0.098260334605752
"GrossOutput","Pvt",1960,904003,0.0271559124329766
"GrossOutput","Pvt",1961,921769,0.0196525896484857
"GrossOutput","Pvt",1962,987329,0.0711241102705776
"GrossOutput","Pvt",1963,1036910,0.0502173034520408
"GrossOutput","Pvt",1964,1108736,0.0692692712000077
"GrossOutput","Pvt",1965,1211715,0.0928796395174325
"GrossOutput","Pvt",1966,1316629,0.0865830661500435
"GrossOutput","Pvt",1967,1372870,0.0427159055436269
"GrossOutput","Pvt",1968,1486794,0.0829823654096892
"GrossOutput","Pvt",1969,1605413,0.0797817316992132
"GrossOutput","Pvt",1970,1666954,0.0383334381869338
"GrossOutput","Pvt",1971,1793029,0.075631961049915
"GrossOutput","Pvt",1972,1995036,0.112662427657333
"GrossOutput","Pvt",1973,2258868,0.132244230179305
"GrossOutput","Pvt",1974,2547749,0.127887508256348
"GrossOutput","Pvt",1975,2689339,0.0555745483562156
"GrossOutput","Pvt",1976,3042859,0.131452375472189
"GrossOutput","Pvt",1977,3447884,0.13310672627289
"GrossOutput","Pvt",1978,3900223,0.131193218797384
"GrossOutput","Pvt",1979,4412762,0.131412742297043
"GrossOutput","Pvt",1980,4888173,0.107735472703944
"GrossOutput","Pvt",1981,5388907,0.10243786379901
"GrossOutput","Pvt",1982,5468133,0.0147016825489844
"GrossOutput","Pvt",1983,5868245,0.0731715925709927
