"Date","GrossOutput","GrossOutput.P","GrossOutput.Q","IntInputs","IntInputs.P","IntInputs.Q","IntInputs.Energy","IntInputs.Energy.P","IntInputs.Energy.Q","IntInputs.Materials","IntInputs.Materials.P","IntInputs.Materials.Q","IntInputs.Services","IntInputs.Services.P","IntInputs.Services.Q","GrossValueAdded","OpEx.EmpComp","OpEx.EmpComp.WageSalary","OpEx.EmpComp.Supplements","OpEx.EmpComp.FTE","OpEx.EmpComp.CompPerFTE","OpEx.ProductionTax","OpEx.Subsidies","GrossOpSurplus","ConsFixedCap","ConsFixedCapNational","NetOpSurplus.Income","NetOpSurplus.StatDisc","NetOpSurplus.Transfers","NetOpSurplus.Proprietor","NetOpSurplus.RentalIncome","NetOpSurplus.GovtEnt","InterestExpense","NetOpSurplus.CorpProfit","OpEx","EBT","NetOpSurplus.Output","Margin.GrossMargin","Margin.EBITDAMargin","Margin.EBITMargin","Margin.EBTMargin"
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104556,51407,50459,948,35286,1430,6824,46,46371,10409,5228,NA,735,511,14015,6065,NA,4038,10601,58185,NA,35962,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92160,47166,46213,953,33196,1392,6971,73,38096,10217,5080,NA,-446,467,10872,5371,NA,4256,7361,54064,NA,27879,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77391,40070,39156,914,30133,1299,6669,145,30797,9514,4752,NA,737,538,8315,4440,NA,4298,2955,46594,NA,21283,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59522,31338,30513,825,26693,1143,6570,117,21731,8338,4240,NA,273,579,5012,3599,NA,4086,-156,37791,NA,13393,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57154,29786,29026,760,27163,1069,6864,166,20670,8012,4008,NA,518,515,5268,2858,NA,3673,-173,36484,NA,12658,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66800,34552,33733,819,30388,1110,7625,467,25090,8430,4104,NA,373,502,7007,2516,NA,3807,2457,41710,NA,16660,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74241,37666,36721,945,31744,1157,7990,598,29183,8480,4184,NA,-231,506,10124,2564,NA,3880,3859,45058,NA,20703,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84830,43288,41953,1335,34879,1203,8461,289,33370,8801,4248,NA,1182,533,10393,2684,NA,3651,6126,51460,NA,24569,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93003,48309,46138,2171,36138,1277,8941,347,36100,9767,4744,NA,-45,524,12521,2966,NA,3589,6780,56903,NA,26333,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87352,45411,43012,2399,34442,1249,8932,479,33488,10042,4820,NA,681,410,10598,3480,NA,3571,4707,53864,NA,23446,NA,NA,NA,NA
