"Date","GrossOutput","GrossOutput.P","GrossOutput.Q","IntInputs","IntInputs.P","IntInputs.Q","GrossValueAdded","OpEx.EmpComp","OpEx.EmpComp.WageSalary","OpEx.EmpComp.Supplements","OpEx.ProductionTax","OpEx.Subsidies","ConsFixedCap","ConsFixedCapNational","NetOpSurplus.Income","NetOpSurplus.StatDisc","NetOpSurplus.Transfers","NetOpSurplus.Proprietor","NetOpSurplus.RentalIncome","NetOpSurplus.GovtEnt","InterestExpense","NetOpSurplus.CorpProfit","OpEx","GrossOpSurplus","EBT","NetOpSurplus.Output","Margin.GrossMargin","Margin.EBITDAMargin","Margin.EBITMargin","Margin.EBTMargin"
"1947Q1",NA,NA,NA,NA,NA,NA,243164,128920,118795,10125,17679,511,28071,9036,NA,3072,524,36188,6657,NA,1992,20571,146088,97076,NA,69005,NA,NA,NA,NA
"1947Q2",NA,NA,NA,NA,NA,NA,245968,130718,121191,9526,17740,417,28706,9561,NA,2759,685,33262,6768,NA,2223,23523,148041,97927,NA,69221,NA,NA,NA,NA
"1947Q3",NA,NA,NA,NA,NA,NA,249585,132712,123919,8793,18031,364,29515,10059,NA,2006,797,33893,6973,NA,2404,23616,150379,99206,NA,69691,NA,NA,NA,NA
"1947Q4",NA,NA,NA,NA,NA,NA,259745,136808,128198,8610,18974,302,30191,10529,NA,3623,854,34972,7157,NA,2465,25003,155480,104265,NA,74074,NA,NA,NA,NA
"1948Q1",NA,NA,NA,NA,NA,NA,265742,140319,131579,8740,18963,384,30615,10972,NA,672,732,36384,7319,NA,2352,28771,158898,106844,NA,76229,NA,NA,NA,NA
"1948Q2",NA,NA,NA,NA,NA,NA,272567,141984,133292,8692,19665,292,31086,11356,NA,-1087,705,40231,7465,NA,2336,30473,161357,111210,NA,80124,NA,NA,NA,NA
"1948Q3",NA,NA,NA,NA,NA,NA,279196,146761,137971,8790,20006,615,31650,11680,NA,256,700,40604,7536,NA,2400,29898,166152,113044,NA,81394,NA,NA,NA,NA
"1948Q4",NA,NA,NA,NA,NA,NA,280366,147843,139015,8828,20270,869,31959,11944,NA,-857,692,39897,7617,NA,2429,31385,167244,113122,NA,81163,NA,NA,NA,NA
"1949Q1",NA,NA,NA,NA,NA,NA,275034,146209,136684,9525,20369,585,32249,12149,NA,854,650,35414,7543,NA,2552,29780,165993,109041,NA,76792,NA,NA,NA,NA
"1949Q2",NA,NA,NA,NA,NA,NA,271351,144622,134947,9675,20822,399,32256,12336,NA,690,657,34937,7654,NA,2616,27496,165045,106306,NA,74050,NA,NA,NA,NA
"1949Q3",NA,NA,NA,NA,NA,NA,272889,143550,133925,9625,21253,529,32255,12506,NA,2026,697,34238,7888,NA,2705,28807,164274,108615,NA,76360,NA,NA,NA,NA
"1949Q4",NA,NA,NA,NA,NA,NA,270627,142722,133144,9578,21172,481,32382,12657,NA,3395,749,34171,8108,NA,2760,25648,163413,107214,NA,74832,NA,NA,NA,NA
"1950Q1",NA,NA,NA,NA,NA,NA,280828,146926,136792,10133,21554,690,32405,12790,NA,3323,710,36246,8458,NA,2969,28928,167790,113038,NA,80633,NA,NA,NA,NA
"1950Q2",NA,NA,NA,NA,NA,NA,290383,153538,142964,10574,22462,809,32769,13043,NA,451,778,36813,8669,NA,2906,32805,175191,115192,NA,82423,NA,NA,NA,NA
"1950Q3",NA,NA,NA,NA,NA,NA,308153,162225,150947,11277,24380,772,33572,13414,NA,629,858,38456,8841,NA,2947,37017,185833,122320,NA,88748,NA,NA,NA,NA
"1950Q4",NA,NA,NA,NA,NA,NA,319945,170072,157996,12076,23404,1103,34823,13905,NA,648,949,38543,9148,NA,3054,40408,192373,127572,NA,92749,NA,NA,NA,NA
"1951Q1",NA,NA,NA,NA,NA,NA,336000,178552,165319,13233,25094,1156,36253,14515,NA,3465,1079,40901,9320,NA,3259,39232,202490,133510,NA,97257,NA,NA,NA,NA
"1951Q2",NA,NA,NA,NA,NA,NA,344090,184887,170979,13907,24069,1128,37336,15007,NA,3441,1151,42539,9576,NA,3343,38876,207828,136262,NA,98926,NA,NA,NA,NA
"1951Q3",NA,NA,NA,NA,NA,NA,351385,187840,173480,14360,24481,872,38267,15382,NA,4562,1187,43241,9858,NA,3507,39313,211449,139936,NA,101669,NA,NA,NA,NA
"1951Q4",NA,NA,NA,NA,NA,NA,356178,191481,176591,14889,25336,1037,39045,15640,NA,2306,1221,43698,10124,NA,3611,40394,215780,140398,NA,101353,NA,NA,NA,NA
"1952Q1",NA,NA,NA,NA,NA,NA,359820,196095,181004,15091,26087,813,39530,15780,NA,3767,1216,41693,10400,NA,3723,38122,221369,138451,NA,98921,NA,NA,NA,NA
"1952Q2",NA,NA,NA,NA,NA,NA,361030,197424,182118,15306,26918,791,40176,15970,NA,2426,1203,42956,10665,NA,3803,36249,223551,137479,NA,97303,NA,NA,NA,NA
"1952Q3",NA,NA,NA,NA,NA,NA,367701,201501,185950,15551,27334,798,41003,16211,NA,1702,1188,44745,10931,NA,3939,36156,228037,139664,NA,98661,NA,NA,NA,NA
"1952Q4",NA,NA,NA,NA,NA,NA,380812,209324,193464,15860,28145,695,41709,16503,NA,2541,1183,42762,11267,NA,3995,40580,236774,144038,NA,102329,NA,NA,NA,NA
"1953Q1",NA,NA,NA,NA,NA,NA,387980,213130,197076,16054,28746,727,42496,16845,NA,2907,1193,42948,11584,NA,4235,41468,241149,146831,NA,104335,NA,NA,NA,NA
"1953Q2",NA,NA,NA,NA,NA,NA,391749,216216,200034,16182,29178,451,43266,17164,NA,3234,1196,42347,11894,NA,4261,40609,244943,146806,NA,103540,NA,NA,NA,NA
"1953Q3",NA,NA,NA,NA,NA,NA,391171,216530,200153,16377,29319,676,43817,17459,NA,3572,1148,41218,12162,NA,4504,39578,245173,145998,NA,102181,NA,NA,NA,NA
"1953Q4",NA,NA,NA,NA,NA,NA,385970,215136,198722,16414,29161,202,44381,17732,NA,5446,1075,41557,12474,NA,4615,32329,244095,141875,NA,97494,NA,NA,NA,NA
