"date","series_id","value","realtime_start","realtime_end"
1947-01-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-02-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-03-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-04-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-05-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-06-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-07-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-08-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-09-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-10-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-11-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1947-12-01,"CPIAUCSL",NA,2025-07-24,2025-07-24
1948-01-01,"CPIAUCSL",10.24209,2025-07-24,2025-07-24
1948-02-01,"CPIAUCSL",9.48196,2025-07-24,2025-07-24
1948-03-01,"CPIAUCSL",6.81818,2025-07-24,2025-07-24
1948-04-01,"CPIAUCSL",8.27273,2025-07-24,2025-07-24
1948-05-01,"CPIAUCSL",9.38497,2025-07-24,2025-07-24
1948-06-01,"CPIAUCSL",9.375,2025-07-24,2025-07-24
1948-07-01,"CPIAUCSL",9.76158,2025-07-24,2025-07-24
1948-08-01,"CPIAUCSL",9.0625,2025-07-24,2025-07-24
1948-09-01,"CPIAUCSL",6.65499,2025-07-24,2025-07-24
1948-10-01,"CPIAUCSL",6.11087,2025-07-24,2025-07-24
1948-11-01,"CPIAUCSL",4.77016,2025-07-24,2025-07-24
1948-12-01,"CPIAUCSL",2.73387,2025-07-24,2025-07-24
1949-01-01,"CPIAUCSL",1.39358,2025-07-24,2025-07-24
1949-02-01,"CPIAUCSL",1.01394,2025-07-24,2025-07-24
1949-03-01,"CPIAUCSL",1.74468,2025-07-24,2025-07-24
1949-04-01,"CPIAUCSL",0.41982,2025-07-24,2025-07-24
1949-05-01,"CPIAUCSL",-0.41649,2025-07-24,2025-07-24
1949-06-01,"CPIAUCSL",-0.95238,2025-07-24,2025-07-24
