"date","series_id","value","realtime_start","realtime_end"
1947-01-01,"GDPC1",NA,2025-07-25,2025-07-25
1947-04-01,"GDPC1",-1.05668,2025-07-25,2025-07-25
1947-07-01,"GDPC1",-0.817,2025-07-25,2025-07-25
1947-10-01,"GDPC1",6.41263,2025-07-25,2025-07-25
1948-01-01,"GDPC1",6.16161,2025-07-25,2025-07-25
1948-04-01,"GDPC1",6.77514,2025-07-25,2025-07-25
1948-07-01,"GDPC1",2.31795,2025-07-25,2025-07-25
1948-10-01,"GDPC1",0.45392,2025-07-25,2025-07-25
1949-01-01,"GDPC1",-5.39379,2025-07-25,2025-07-25
1949-04-01,"GDPC1",-1.35172,2025-07-25,2025-07-25
1949-07-01,"GDPC1",4.20035,2025-07-25,2025-07-25
1949-10-01,"GDPC1",-3.30934,2025-07-25,2025-07-25
1950-01-01,"GDPC1",16.67878,2025-07-25,2025-07-25
1950-04-01,"GDPC1",12.77366,2025-07-25,2025-07-25
1950-07-01,"GDPC1",16.37991,2025-07-25,2025-07-25
1950-10-01,"GDPC1",7.88267,2025-07-25,2025-07-25
1951-01-01,"GDPC1",5.54347,2025-07-25,2025-07-25
1951-04-01,"GDPC1",7.11064,2025-07-25,2025-07-25
1951-07-01,"GDPC1",8.49808,2025-07-25,2025-07-25
1951-10-01,"GDPC1",0.8787,2025-07-25,2025-07-25
1952-01-01,"GDPC1",4.33649,2025-07-25,2025-07-25
1952-04-01,"GDPC1",0.85996,2025-07-25,2025-07-25
1952-07-01,"GDPC1",2.91628,2025-07-25,2025-07-25
1952-10-01,"GDPC1",13.79712,2025-07-25,2025-07-25
1953-01-01,"GDPC1",7.6461,2025-07-25,2025-07-25
1953-04-01,"GDPC1",3.12841,2025-07-25,2025-07-25
1953-07-01,"GDPC1",-2.23115,2025-07-25,2025-07-25
1953-10-01,"GDPC1",-5.91878,2025-07-25,2025-07-25
1954-01-01,"GDPC1",-1.89664,2025-07-25,2025-07-25
1954-04-01,"GDPC1",0.43837,2025-07-25,2025-07-25
1954-07-01,"GDPC1",4.59591,2025-07-25,2025-07-25
1954-10-01,"GDPC1",8.06065,2025-07-25,2025-07-25
1955-01-01,"GDPC1",11.92538,2025-07-25,2025-07-25
1955-04-01,"GDPC1",6.67085,2025-07-25,2025-07-25
1955-07-01,"GDPC1",5.51376,2025-07-25,2025-07-25
1955-10-01,"GDPC1",2.4244,2025-07-25,2025-07-25
1956-01-01,"GDPC1",-1.54316,2025-07-25,2025-07-25
1956-04-01,"GDPC1",3.34752,2025-07-25,2025-07-25
1956-07-01,"GDPC1",-0.35833,2025-07-25,2025-07-25
1956-10-01,"GDPC1",6.74798,2025-07-25,2025-07-25
1957-01-01,"GDPC1",2.58577,2025-07-25,2025-07-25
1957-04-01,"GDPC1",-0.87368,2025-07-25,2025-07-25
1957-07-01,"GDPC1",3.97768,2025-07-25,2025-07-25
1957-10-01,"GDPC1",-4.07438,2025-07-25,2025-07-25
1958-01-01,"GDPC1",-9.98624,2025-07-25,2025-07-25
1958-04-01,"GDPC1",2.6536,2025-07-25,2025-07-25
1958-07-01,"GDPC1",9.57845,2025-07-25,2025-07-25
1958-10-01,"GDPC1",9.6861,2025-07-25,2025-07-25
1959-01-01,"GDPC1",7.89728,2025-07-25,2025-07-25
1959-04-01,"GDPC1",9.32301,2025-07-25,2025-07-25
1959-07-01,"GDPC1",0.2792,2025-07-25,2025-07-25
1959-10-01,"GDPC1",1.1448,2025-07-25,2025-07-25
1960-01-01,"GDPC1",9.30246,2025-07-25,2025-07-25
1960-04-01,"GDPC1",-2.1361,2025-07-25,2025-07-25
1960-07-01,"GDPC1",1.97417,2025-07-25,2025-07-25
1960-10-01,"GDPC1",-5.03458,2025-07-25,2025-07-25
1961-01-01,"GDPC1",2.72753,2025-07-25,2025-07-25
1961-04-01,"GDPC1",6.96635,2025-07-25,2025-07-25
1961-07-01,"GDPC1",7.90558,2025-07-25,2025-07-25
1961-10-01,"GDPC1",8.0806,2025-07-25,2025-07-25
1962-01-01,"GDPC1",7.32782,2025-07-25,2025-07-25
1962-04-01,"GDPC1",3.66843,2025-07-25,2025-07-25
1962-07-01,"GDPC1",5.00972,2025-07-25,2025-07-25
1962-10-01,"GDPC1",1.32413,2025-07-25,2025-07-25
1963-01-01,"GDPC1",4.44044,2025-07-25,2025-07-25
1963-04-01,"GDPC1",4.56581,2025-07-25,2025-07-25
1963-07-01,"GDPC1",9.08969,2025-07-25,2025-07-25
1963-10-01,"GDPC1",2.64954,2025-07-25,2025-07-25
1964-01-01,"GDPC1",8.70543,2025-07-25,2025-07-25
1964-04-01,"GDPC1",4.42796,2025-07-25,2025-07-25
